,object,image,name_agreement,H_statistic,Normalised_H_statistic,recognition_RT_mean,recognition_RT_SD,recognition_RT_95CI,first_key_RT,is_natural,modalName,modalWordFreq,weightedWordFreq,modalWordLength,weightedWordLength,modalProductionFreq_raw,altName1,altName1ProductionFreq_raw,altName1WordFreq,altName1WordLength,altName2,altName2ProductionFreq_raw,altName2WordFreq,altName2WordLength,altName3,altName3ProductionFreq_raw,altName3WordFreq,altName3WordLength,altName4,altName4ProductionFreq_raw,altName4WordFreq,altName4WordLength,altName5,altName5ProductionFreq_raw,altName5WordFreq,altName5WordLength,altName6,altName6ProductionFreq_raw,altName6WordLength,altName6WordFreq,altName7,altName7ProductionFreq_raw,altName7WordLength,altName7WordFreq,altName8,altName8ProductionFreq_raw,altName8WordLength,altName8WordFreq,altName9,altName9ProductionFreq_raw,altName9WordLength,altName9WordFreq,altName10,altName10ProductionFreq_raw,altName10WordLength,altName10WordFreq,altName11,altName11ProductionFreq_raw,altName11WordLength,altName11WordFreq,altName12,altName12ProductionFreq_raw,altName12WordLength,altName12WordFreq,altName13,altName13ProductionFreq_raw,altName13WordLength,altName13WordFreq,altName14,altName14ProductionFreq_raw,altName14WordLength,altName14WordFreq,altName15,altName15ProductionFreq_raw,altName15WordLength,altName15WordFreq
246,excavator,excavator_2.png,68.75,1.621640762,0.577640094,1200.57931,615.73053,224.09893,95.31724144,0,digger,3.81,3.735384615,6,5.923076923,22,tractor,4,3.84,7,jcb,2,2.78,3,excavator,1,2.26,9,vehicle,1,4.52,7,dig,1,4.44,3,building machine,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,excavator,excavator_3.png,59.375,2.003695979,0.66789866,1078.603846,487.81346,187.50601,99.95384613,0,digger,3.81,3.725909091,6,6.136363636,19,machinery,3,3.88,9,jcb,2,2.78,3,tractor,2,3.84,7,excavator,2,2.26,9,warehouse,1,3.8,9,vehicle,1,7,4.52,construction vehicle,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,excavator,excavator_4.png,71.875,1.436189844,0.555594073,1217.393548,883.02951,310.84398,92.61935484,0,digger,3.81,3.814444444,6,6.148148148,23,tractor,4,3.84,7,excavator,2,2.26,9,claw,1,4.22,4,truck,1,4.22,5,vehicle,1,4.52,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,ferryboat,ferryboat_1.png,41.17647059,1.914001122,0.824315415,1022.484848,545.82568,186.22804,96.89696971,0,ship,4.77,4.436313014,4,4.5,14,ferry,8,4.02,5,boat,8,4.89,4,car ferry,2,1.951008231,8,assault rifle,1,2.18709742,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,ferryboat,ferryboat_2.png,46.875,1.914302362,0.740553243,1099.916667,820.16378,293.48644,89.74666669,0,boat,4.89,4.688518519,4,4.148148148,15,ship,9,4.77,4,berry,5,3.8,5,car ferry,1,1.951008231,8,passenger ferry,1,1.974489327,14,army,1,4.91,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,ferryboat,ferryboat_3.png,51.51515152,1.991424628,0.709359765,1212.657143,985.7031,365.10283,87.76785723,0,boat,4.89,4.692,4,4.2,17,ship,7,4.77,4,ferry,5,4.02,5,diving boat,1,NA,10,tourist boat,1,1.737128411,11,passenger ferry,1,1.974489327,14,yacht,1,5,3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,ferryboat,ferryboat_4.png,59.375,1.96640154,0.65546718,967.0275862,512.85849,186.65801,89.92758621,0,boat,4.89,4.766538462,4,4.115384615,19,ship,5,4.77,4,ferry,3,4.02,5,shipping ferry,1,NA,13,submarine,1,3.77,9,fishing boat,1,NA,11,navy,1,4,4.28,tug boat,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,fig,fig_1.png,50,2.01163886,0.77820814,1583.52963,1292.09062,487.37044,99.61111113,1,fig,3.48,3.898076923,3,3.846153846,16,fruit,5,4.73,5,onion,5,4.28,5,plum,2,3.79,4,vegetable,2,4.18,9,bulb,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,fig,fig_2.png,21.875,2.703333158,0.852806662,1538.240909,698.9156,292.05287,94.11363635,1,fig,3.48,4.056666667,3,5,7,fruit,7,4.73,5,mango,5,3.74,5,vegetable,4,4.18,9,onion,1,4.28,5,food,1,5.45,4,kumquat,1,7,NA,melon,1,5,3.49,plum,1,4,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,fig,fig_3.png,52.94117647,2.057085827,0.732748756,1199.348276,592.68446,215.71116,104.062069,1,fig,3.48,3.808,3,3.64,18,fruit,5,4.73,5,onion,5,4.28,5,vegetable,3,4.18,9,passion fruit,1,3.168492176,12,turnip,1,3.36,6,pumpkin,1,7,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,fig,fig_4.png,50,2.304229297,0.726903411,1490.309677,944.96621,332.64693,102.316129,1,fig,3.48,3.590769231,3,5.076923077,16,vegetable,6,4.18,9,onion,3,4.28,5,passionfruit,2,1.97,12,plant,1,4.81,5,food,1,5.45,4,fruit,1,5,4.73,pumpkin,1,7,3.79,plum,1,4,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,firetruck,firetruck_1.png,75.75757576,1.223290945,0.526842734,1019.015625,471.50177,163.36403,84.196875,0,fire engine,3.175742669,3.177540458,10,9.466666667,25,fire truck,4,2.18709742,9,fire,2,5.18,4,vehicle,1,4.52,7,fire brigade,1,3.535213774,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
