word.EN,word.CH,pos,syllables,strokes,HSK,valence.mean.CH,valence.sd.CH,valence.N.CH,arousal.mean.CH,arousal.sd.CH,arousal.N.CH,valence.mean.EN,valence.sd.EN,valence.N.EN,arousal.mean.EN,arousal.sd.EN,arousal.N.EN,sensory.mean.CH,sensory.sd.CH,sensory.N.CH,valence_Xu,arousal_Xu,valence_yao,arousal_yao,imageability_su,familiarity_su,concreteness_xu,freq_m_Tsang,freq_cncorpus,AoA_Xu,RT_Tsang,zRT_Tsang,category
acne,痤疮,noun,2,21,NA,2.75,2.14,16,6.4,1.18,15,2.18,1.47,17,4.47,2.5,19,5.56,2.45,16,NA,NA,2.72,6.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
acorn,橡子,noun,2,18,NA,5.53,1.55,15,4.12,1.36,8,5.85,1.76,20,4.42,2.32,24,2.7,2.63,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acquaintance,相识,noun,2,16,NA,6.38,1.41,16,5.25,1.95,16,5.58,1.35,24,3.24,1.64,21,5.06,2.41,16,0.42,2,NA,NA,4.09524,6.214286,3.37037,4.89,0.0012,11.8,710.02,-0.405,NA
action,行动,verb,2,12,5,6.06,1.39,16,5.5,1.37,16,6,1.64,18,6.19,2.56,21,4.81,2.14,16,0.74,2.14,NA,NA,4.85,5.909091,3.192308,190.93,0.015,10.2,636.16,-0.693,NA
activity,活动,noun,2,15,4,5.81,1.42,16,5.12,1.63,16,6.21,1.75,19,4.86,2.48,21,3.81,2.17,16,0.48,2.28,NA,NA,4.83333,6.642857,2.454545,83.26,0.0472,8.1,621.16,-0.765,NA
acupuncture,针灸,noun,2,14,NA,5.56,1.79,16,5,1.79,16,4.81,2.23,21,4.9,2.63,20,5.12,2.73,16,0.17,1.91,NA,NA,5.63636,6,1.625,2,0.0017,16.2,710.34,-0.391,NA
adapt,适应,verb,2,16,4,5.8,1.32,15,4.5,1.26,16,5.84,1.3,19,3.9,2.36,20,4.81,2.61,16,0.67,2.11,NA,NA,3.75,6.771429,3.083333,27.6,0.0213,10.3,667.91,-0.587,NA
addiction,上瘾,verb,2,19,6,4.69,2.24,16,6.62,1.96,16,3.52,1.81,21,4.48,2.87,23,6.06,1.84,16,-1.19,2.6,NA,NA,4.95,5.518519,3.625,9.39,NA,12.1,762.39,-0.166,NA
address,住址,noun,2,14,NA,5.44,1.21,16,3.94,1.77,16,6.11,1.64,18,3.05,2.06,20,4,2.63,16,0.07,1.56,NA,NA,4.65,6.36,1.733333,6.38,NA,8.1,658.55,-0.541,NA
adjust,调整,verb,2,26,5,5.48,1.17,48,4.58,1.51,48,5.76,1.67,21,3,2.07,23,3.67,2.53,48,0.65,2.13,NA,NA,3.6,6.076923,3.366667,18.15,0.0136,11.4,679.19,-0.562,NA
administration,管理,verb,2,25,4,5.12,0.81,16,4.44,2.06,16,4.45,1.36,20,3.23,2,22,4.06,1.69,16,0.63,2.36,NA,NA,4.19048,6.606061,3.192308,32.34,0.0396,15.1,740.9,-0.467,NA
administrative,行政,noun,2,15,6,5.19,1.42,16,4.88,1.89,16,4.79,1.62,19,3.21,2.2,19,4.06,2.67,16,0.63,1.7,NA,NA,3.62069,5.730769,2.962963,7.09,0.0109,15.2,758.44,-0.296,NA
administrator,管理员,noun,3,32,NA,5.62,1.34,32,4.69,2.05,32,5.32,1.59,22,4.74,2.35,19,#N/A,#N/A,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,0.0008,NA,NA,NA,NA
admit,承认,verb,2,12,5,5.75,1.34,16,4.69,1.45,16,5.56,1.79,18,3.35,2.43,20,4.62,2.58,16,0.82,2.04,NA,NA,4.78261,6.555556,2.423077,106.57,0.0125,10.8,595.41,-0.786,NA
adult,成人,noun,2,8,5,5.44,1.59,16,5.12,1.41,16,5.9,2.1,42,4.36,2.5,22,4.56,2.39,16,-0.04,1.65,NA,NA,6.04762,6.606061,1.655172,14.96,0.0034,10.8,614.07,-0.733,NA
adulterer,奸夫,noun,2,10,NA,2.31,1.7,16,7.25,1.39,16,2.77,1.97,22,5.68,2.85,22,5.12,2.87,16,-2.32,3.19,NA,NA,NA,4.74,1.9,0.54,NA,14.9,707.98,-0.355,NA
advance,提前,verb,2,21,4,6,1.08,32,5.88,1.07,32,6.11,2,18,4.62,2.54,21,#N/A,#N/A,#N/A,0.67,1.92,NA,NA,2.90909,6.285714,2.586207,25.99,0.003,9.2,643.79,-0.668,NA
advantage,优势,noun,2,14,5,7.25,1.06,16,5.88,1.54,16,6.71,1.62,21,3.95,2.36,22,5.5,2.92,16,1.67,2.78,NA,NA,3.81818,6.7,2.740741,18.93,0.0073,10.3,675.9,-0.536,NA
adventure,冒险,verb,2,18,5,5.56,1.82,16,7.06,1.39,16,7.4,1.78,42,6.36,2.4,42,5.94,2.29,16,0,3.15,NA,NA,4.1,6.04,3.25,52.97,0.0015,10.4,646.11,-0.704,NA
adventurer,冒险家,noun,3,28,NA,6.31,1.45,16,6.38,1.67,16,7,1.76,21,5.27,2.9,22,5.12,2.78,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
